Row (Global DOF),Column (Global DOF),K Value
185,185,5.611710720000e+07
185,187,-6.734052864000e+08
185,191,1.402927680000e+07
186,180,-4.401600000000e+09
186,186,8.803200000000e+09
186,192,-4.401600000000e+09
187,181,-2.154896916480e+10
187,185,-6.734052864000e+08
187,187,4.309793832960e+10
187,191,0.000000000000e+00
187,193,-2.154896916480e+10
187,197,6.734052864000e+08
188,182,-3.338108928000e+09
188,184,1.043159040000e+08
188,188,6.676217856000e+09
188,190,0.000000000000e+00
188,194,-3.338108928000e+09
188,196,-1.043159040000e+08
189,183,-3.378322080000e+04
189,189,6.756644160000e+04
189,195,-3.378322080000e+04
190,182,-1.043159040000e+08
190,184,2.173248000000e+06
190,188,0.000000000000e+00
190,190,8.692992000000e+06
190,194,1.043159040000e+08
190,196,2.173248000000e+06
191,181,6.734052864000e+08
191,185,1.402927680000e+07
191,187,0.000000000000e+00
191,191,5.611710720000e+07
191,193,-6.734052864000e+08
191,197,1.402927680000e+07
192,186,-4.401600000000e+09
192,192,4.401600000000e+09
193,187,-2.154896916480e+10
193,191,-6.734052864000e+08
193,193,2.154896916480e+10
193,197,-6.734052864000e+08
194,188,-3.338108928000e+09
194,190,1.043159040000e+08
194,194,3.338108928000e+09
194,196,1.043159040000e+08
195,189,-3.378322080000e+04
195,195,3.378322080000e+04
196,188,-1.043159040000e+08
196,190,2.173248000000e+06
196,194,1.043159040000e+08
196,196,4.346496000000e+06
197,187,6.734052864000e+08
197,191,1.402927680000e+07
197,193,-6.734052864000e+08
197,197,2.805855360000e+07
