Row (Condensed DOF),Column (Condensed DOF),K Value
175,175,5.659200000000e+09
175,179,0.000000000000e+00
175,181,-2.829600000000e+09
175,185,4.421250000000e+07
176,170,-2.829600000000e+09
176,172,4.421250000000e+07
176,176,5.659200000000e+09
176,178,0.000000000000e+00
176,182,-2.829600000000e+09
176,184,-4.421250000000e+07
177,171,-6.756644160000e+04
177,177,1.351328832000e+05
177,183,-6.756644160000e+04
178,170,-4.421250000000e+07
178,172,-1.482427687500e+06
178,176,0.000000000000e+00
178,178,5.728136625000e+06
178,182,4.421250000000e+07
178,184,-1.482427687500e+06
179,169,4.421250000000e+07
179,173,-1.333845648750e+07
179,175,0.000000000000e+00
179,179,2.944019422500e+07
179,181,-4.421250000000e+07
179,185,-1.333845648750e+07
180,174,-8.803200000000e+09
180,180,1.760640000000e+10
180,186,-8.803200000000e+09
181,175,-2.829600000000e+09
181,179,-4.421250000000e+07
181,181,5.659200000000e+09
181,185,0.000000000000e+00
181,187,-2.829600000000e+09
181,191,4.421250000000e+07
182,176,-2.829600000000e+09
182,178,4.421250000000e+07
182,182,5.659200000000e+09
182,184,0.000000000000e+00
182,188,-2.829600000000e+09
182,190,-4.421250000000e+07
183,177,-6.756644160000e+04
183,183,1.351328832000e+05
183,189,-6.756644160000e+04
184,176,-4.421250000000e+07
184,178,-1.482427687500e+06
184,182,0.000000000000e+00
184,184,5.728136625000e+06
184,188,4.421250000000e+07
184,190,-1.482427687500e+06
185,175,4.421250000000e+07
185,179,-1.333845648750e+07
185,181,0.000000000000e+00
185,185,2.944019422500e+07
185,187,-4.421250000000e+07
185,191,-1.333845648750e+07
186,180,-8.803200000000e+09
186,186,1.760640000000e+10
186,192,-8.803200000000e+09
187,181,-2.829600000000e+09
187,185,-4.421250000000e+07
187,187,5.659200000000e+09
187,191,0.000000000000e+00
187,193,-2.829600000000e+09
187,197,4.421250000000e+07
188,182,-2.829600000000e+09
188,184,4.421250000000e+07
188,188,5.659200000000e+09
188,190,0.000000000000e+00
188,194,-2.829600000000e+09
188,196,-4.421250000000e+07
189,183,-6.756644160000e+04
189,189,1.351328832000e+05
189,195,-6.756644160000e+04
190,182,-4.421250000000e+07
190,184,-1.482427687500e+06
190,188,0.000000000000e+00
190,190,5.728136625000e+06
190,194,4.421250000000e+07
190,196,-1.482427687500e+06
191,181,4.421250000000e+07
191,185,-1.333845648750e+07
191,187,0.000000000000e+00
191,191,2.944019422500e+07
191,193,-4.421250000000e+07
191,197,-1.333845648750e+07
192,186,-8.803200000000e+09
192,192,1.760640000000e+10
192,198,-8.803200000000e+09
193,187,-2.829600000000e+09
