job_id,x,uy_fem_mm,uy_roark_mm,error_uy_mm,theta_z_fem_deg,theta_z_roark_deg,error_theta_z_deg
0.000000000000000000e+00,2.000000000000000111e-01,-4.409825780863999706e-02,-4.409825791352742219e-02,1.048874251341480601e-10,-2.483081227743085331e-02,-2.483081233663737494e-02,5.920652162982875666e-11
0.000000000000000000e+00,2.200000000000000011e-01,-5.317489576926000272e-02,-5.317489589579794951e-02,1.265379467874083730e-10,-2.717013617088798183e-02,-2.717013623572057598e-02,6.483259415435149720e-11
0.000000000000000000e+00,2.399999999999999911e-01,-6.306354992536999937e-02,-6.306355007551067704e-02,1.501406776682756572e-10,-2.948332236720408936e-02,-2.948332243760732468e-02,7.040323532492287484e-11
0.000000000000000000e+00,2.600000000000000089e-01,-7.375509649947999125e-02,-7.375509667516624845e-02,1.756862572088735419e-10,-3.177037086637344437e-02,-3.177037094229761410e-02,7.592416972901361305e-11
0.000000000000000000e+00,2.800000000000000266e-01,-8.524041171412000129e-02,-8.524041191726529354e-02,2.031452922546250761e-10,-3.403128166840176799e-02,-3.403128174979143383e-02,8.138966584025908446e-11
0.000000000000000000e+00,2.999999999999999889e-01,-9.751037179181000492e-02,-9.751037202430848372e-02,2.324984788026895899e-10,-3.626605477328334604e-02,-3.626605486008879775e-02,8.680545171557696449e-11
0.000000000000000000e+00,3.200000000000000067e-01,-1.105558529550999952e-01,-1.105558532187964627e-01,2.636964674396224950e-10,-3.847469018102388921e-02,-3.847469027318970586e-02,9.216581664528433748e-11
0.000000000000000000e+00,3.400000000000000244e-01,-1.243677314264000078e-01,-1.243677317232299573e-01,2.968299495087478590e-10,-4.065718789162341140e-02,-4.065718798909414428e-02,9.747073287380558781e-11
0.000000000000000000e+00,3.599999999999999867e-01,-1.389368834283000176e-01,-1.389368837601094309e-01,3.318094132787052786e-10,-4.281354790507618108e-02,-4.281354800780212688e-02,1.027259458052931507e-10
0.000000000000000000e+00,3.800000000000000044e-01,-1.542541851833999778e-01,-1.542541855519357075e-01,3.685357297111835351e-10,-4.494377022138219130e-02,-4.494377032931365368e-02,1.079314623786409300e-10
0.000000000000000000e+00,4.000000000000000222e-01,-1.703105129140999874e-01,-1.703105133212093891e-01,4.071094017454868208e-10,-4.704785484054717359e-02,-4.704785495362871078e-02,1.130815371896964905e-10
0.000000000000000000e+00,4.199999999999999845e-01,-1.870967428429000101e-01,-1.870967432904310224e-01,4.475310122487030640e-10,-4.912580176256541031e-02,-4.912580188074731902e-02,1.181819087037183635e-10
0.000000000000000000e+00,4.400000000000000022e-01,-2.046037511924999885e-01,-2.046037516821014313e-01,4.896014427213657427e-10,-5.117761098743688064e-02,-5.117761111066945756e-02,1.232325769207065491e-10
0.000000000000000000e+00,4.600000000000000200e-01,-2.228224141851999907e-01,-2.228224147187211901e-01,5.335211994417221604e-10,-5.320328251515587387e-02,-5.320328264339513336e-02,1.282392594892378668e-10
0.000000000000000000e+00,4.799999999999999822e-01,-2.417436080436000112e-01,-2.417436086227908731e-01,5.791908619379171341e-10,-5.520281634573384610e-02,-5.520281647892434640e-02,1.331905002954769657e-10
0.000000000000000000e+00,5.000000000000000000e-01,-2.613582089902999894e-01,-2.613582096168112212e-01,6.265112317827004063e-10,-5.717621247916505889e-02,-5.717621261725711751e-02,1.380920586213640888e-10
0.000000000000000000e+00,5.200000000000000178e-01,-2.816570932477000522e-01,-2.816570939232829196e-01,6.755828674265274003e-10,-5.912347091546669986e-02,-5.912347105839341199e-02,1.429267121322297385e-10
0.000000000000000000e+00,5.400000000000000355e-01,-3.026311370383999999e-01,-3.026311377647064593e-01,7.263064594198453960e-10,-6.104459165458721304e-02,-6.104459180233325760e-02,1.477460445653555610e-10
0.000000000000000000e+00,5.600000000000000533e-01,-3.242712165849000461e-01,-3.242712173635826090e-01,7.786825628741667060e-10,-6.293957469656670523e-02,-6.293957484907661271e-02,1.525099074806135491e-10
0.000000000000000000e+00,5.799999999999999600e-01,-3.465682081097000156e-01,-3.465682089424119705e-01,8.327119549456085679e-10,-6.480842004140517643e-02,-6.480842019862353975e-02,1.572183633280488380e-10
0.000000000000000000e+00,5.999999999999999778e-01,-3.695129878353000108e-01,-3.695129887236953681e-01,8.883953572791369879e-10,-6.665112768915990027e-02,-6.665112785097400405e-02,1.618141037829090578e-10
0.000000000000000000e+00,6.199999999999999956e-01,-3.930964319841999677e-01,-3.930964329299331816e-01,9.457332139639618163e-10,-6.846769763971631562e-02,-6.846769780612800560e-02,1.664116899835477170e-10
0.000000000000000000e+00,6.400000000000000133e-01,-4.173094167790000197e-01,-4.173094177836261243e-01,1.004626104528227870e-09,-7.025812989313170998e-02,-7.025813006408553052e-02,1.709538205441063496e-10
0.000000000000000000e+00,6.600000000000000311e-01,-4.421428184421999918e-01,-4.421428195072750200e-01,1.065075028172657312e-09,-7.202242444946335698e-02,-7.202242462484662044e-02,1.753832634676655289e-10
